question_id,question_type,question,expected_answer,system_answer,result,notes
U01,straightforward,"What is the minimum age required for participants in the Virtual Baithak study?","60 years or above","60 years or above",PASS,"Correct minimum age."
U02,straightforward,"How many participants will be enrolled, and how many are allocated to each study arm?","381 participants total; 127 participants per arm","381 participants will be enrolled, with 127 allocated to each of the three arms. The arms are IVR plus group calls, IVR only, and usual community services (control).",PASS,"Correct total sample size and per-arm allocation."
U03,straightforward,"What are the three study arms in the randomised controlled trial?","IVR plus group calls; IVR only; usual community services/control","Both IVR and healthcare-professional-moderated group calls; IVR only; usual community services/usual care control.",PASS,"All three study arms correctly identified."
U04,difficult,"What mobile-phone access must a participant have to be eligible, and will the study provide a phone?","Access to a basic mobile phone with calling and keypad functions capable of receiving IVR and group calls; the study will not provide a phone.","Eligible participants must have access to a basic mobile phone with calling and keypad functions, capable of receiving IVR and group calls. The study will not provide mobile devices or phones.",PASS,"Both eligibility requirement and no-device policy correctly answered."
U05,difficult,"What conditions specifically exclude an older adult from participating in the study?","Unwilling to consent; previously diagnosed psychiatric illness; hearing impairment; no access to a mobile phone.","Older adults are excluded if unwilling to consent, previously diagnosed with psychiatric illness or hearing impairment, or without access to a mobile phone.",PASS,"Correct exclusions."
U06,structure-heavy,"How are villages and households selected in the study's two-stage sampling design?","14 of 116 villages selected by simple random sampling; households selected using simple random sampling with proportional allocation based on village population size.","Fourteen of 116 villages are selected by simple random sampling. Within selected villages, households are selected by simple random sampling using R's sampling package, with proportional allocation based on village population size; 400 households are approached to obtain the calculated sample of 381 households.",PASS,"Correct two-stage sampling design."
U07,multi-fact,"How often are group calls and IVR audio skits delivered during the intervention?","Group calls are weekly; IVR audio skits are delivered twice per week, with 12 skits in total.","IVR audio skits are delivered twice per week; the frequency of group calls is not specified.",FAIL,"Partial answer. IVR frequency was correct, but the protocol explicitly states that group calls are weekly."
U08,detail-retrieval,"What data system and version are used to store participant data after the line-listing visit?","REDCap version 14.2.2","Participant data are stored in REDCap (Research Electronic Data Capture), version 14.2.2.",PASS,"Correct system and version."
U09,unsupported,"Which study arm achieved the greatest improvement in eye-health literacy?","Insufficient Evidence","Insufficient Evidence",PASS,"Protocol does not report completed comparative trial results; system correctly abstained."
U10,unsupported,"What were the final trial results?","Insufficient Evidence","Insufficient Evidence",PASS,"Protocol does not report final trial results; system correctly abstained."
