question_id,document_id,document_name,question_type,expected_support,question,gold_chunk_ids,gold_pages,gold_answer_notes,verification_notes
EVAL_001,PROTO_001,CERTAIN,straightforward,supported,How long were participants in the CERTAIN study followed after the first counselling session?,PROTO_001_P001_C002,1,All participants were followed for 3 months from the first counselling session.,Manually verified from CERTAIN page 1.
EVAL_002,PROTO_001,CERTAIN,straightforward,supported,What personal technology were smokeless tobacco users required to have for inclusion in CERTAIN?,PROTO_001_P001_C004,1,Eligible smokeless tobacco users were required to have a mobile phone.,Manually verified from CERTAIN page 1.
EVAL_003,PROTO_001,CERTAIN,difficult,supported,What face-to-face counselling component was added to routine care in the CERTAIN intervention?,PROTO_001_P003_C002,3,The intervention included a single 10-minute face-to-face session delivered by a practice-based counsellor using the 5A tobacco-cessation approach.,Manually verified from CERTAIN page 3.
EVAL_004,PROTO_001,CERTAIN,difficult,supported,How were eligible CERTAIN participants randomised between the intervention and control arms?,PROTO_001_P005_C001,5,"Randomisation occurred at the individual participant level, was stratified by study practice site, used random permuted blocks of size 4 to 10, and allocated participants 1:1 to intervention or control.",Manually verified from CERTAIN page 5.
EVAL_005,PROTO_001,CERTAIN,confusable,supported,Which CERTAIN study arms received the short Ask-and-Advice routine-care component?,PROTO_001_P003_C002,3,The 1-to-2-minute routine-care component based on Ask and Advice was delivered to both the intervention and control arms.,Manually verified from CERTAIN page 3.
EVAL_006,PROTO_001,CERTAIN,structure_heavy,supported,How did CERTAIN reduce the risk that outcome assessment would be influenced by knowledge of treatment allocation?,PROTO_001_P005_C001,5,Staff collecting outcome data were kept separate from staff delivering the intervention and were blinded to group assignment.,Manually verified from CERTAIN page 5.
EVAL_007,PROTO_001,CERTAIN,unsupported,unsupported,What proportion of CERTAIN participants actually quit smokeless tobacco by the end of the study?,,,Insufficient Evidence,The protocol contains quit-rate results from previous studies but does not report a completed CERTAIN quit rate.
EVAL_008,PROTO_001,CERTAIN,unsupported,unsupported,What were the final cost-effectiveness results of CERTAIN?,,,Insufficient Evidence,"The protocol describes planned economic evaluation, including the feasibility of calculating cost per DALY and cost per QALY, but does not report final CERTAIN economic results."
EVAL_009,PROTO_002,CARE_STROKE,straightforward,supported,How were eligible CARE_STROKE participants allocated between the intervention and control groups?,PROTO_002_P004_C002,4,"Participants were randomised 1:1 to intervention or control using a secure, central, password-protected web-based system.",Manually verified from CARE_STROKE page 4.
EVAL_010,PROTO_002,CARE_STROKE,straightforward,supported,How soon after randomisation was the CARE_STROKE intervention started?,PROTO_002_P004_C002,4,The intervention was started within 24 hours of randomisation.,Manually verified from CARE_STROKE page 4.
EVAL_011,PROTO_002,CARE_STROKE,difficult,supported,At what time points was questionnaire information collected during CARE_STROKE follow-up?,PROTO_002_P005_C001;PROTO_002_P005_C002,5,Questionnaire information was collected at baseline and again after 6 weeks.,Manually verified from overlapping CARE_STROKE page 5 chunks.
EVAL_012,PROTO_002,CARE_STROKE,difficult,supported,Which secondary outcome measures were specified in the CARE_STROKE protocol?,PROTO_002_P005_C001,5,"Secondary outcomes included the Modified Barthel Index, Modified Caregiver Strain Index, WHOQOL-BREF, and use of healthcare and rehabilitation services.",Manually verified from CARE_STROKE page 5.
